"School.Name","City","LAT","LNG","Exemption"
"CENTER ELEMENTARY SCHOOL","ABINGTON",42.1048228,-70.9453218,0
"C.T. DOUGLAS","ACTON",42.4816957,-71.4716724,3.3
"LUTHER CONANT","ACTON",42.4751878,-71.4363831,0
"MCCARTHY-TOWNE","ACTON",42.4769577,-71.4539435,0
"MERRIAM SCHOOL","ACTON",42.4778,-71.4556,0
"P.P. GATES","ACTON",42.4792045,-71.4736581,3.3
"ACUSHNET ELEMENTARY","ACUSHNET",41.7254237,-70.9059014,0
"PLUNKETT ELEMENTARY","ADAMS",42.6189718,-73.1203807,0
"BENJAMIN PHELPS","AGAWAM",42.0703152,-72.6134071,3.9
"JAMES CLARK SCHOOL","AGAWAM",42.0455116,-72.631502,6
"ROBINSON PARK SCHOOL","AGAWAM",42.0898205,-72.6418162,5.7
"GARDNER PILOT ACADEMY","ALLSTON",42.3607731,-71.1339972,0
"JACKSON MANN SCHOOL","ALLSTON",42.3517771,-71.137231,0
"AMESBURY ELEMENTARY SCHOOL","AMESBURY",42.8660036,-70.9318688,1.1
"CASHMAN ELEMENTARY SCHOOL","AMESBURY",42.8567624,-70.9492673,1.2
"CROCKER FARM ELEMENTARY","AMHERST",42.3472776,-72.5175329,0
"FORT RIVER ELEMENTARY","AMHERST",42.3753662,-72.4987466,2.4
"WILDWOOD ELEMENTARY","AMHERST",42.3872429,-72.5132239,0
"BANCROFT ELEMENTARY","ANDOVER",42.6370369,-71.1258895,1.5
"HENRY C SANBORN","ANDOVER",42.6420646,-71.1786014,0
"HIGH PLAIN ELEMENTARY","ANDOVER",42.664198,-71.212349,3.6
"SHAWSHEEN SCHOOL","ANDOVER",42.6762515,-71.1549495,2.7
"SOUTH ELEMENTARY","ANDOVER",42.626287,-71.1498038,1.4
"ST AUGUSTINE ELEMENTARY","ANDOVER",42.6583356,-71.1367953,2.2
"WEST ELEMENTARY","ANDOVER",42.664198,-71.212349,1.4
"BRACKETT ELEMENTARY","ARLINGTON",42.4124419,-71.1763788,7.2
"CYRUS DALLIN ELEMENTARY","ARLINGTON",42.4176518,-71.1878321,1.4
"HARDY ELEMENTARY","ARLINGTON",42.4044261,-71.1453619,0
"INTERNATIONAL SCHOOL OF BOSTON","ARLINGTON",42.4123876,-71.1587694,2.3
"JOHN A BISHOP ELEMENTARY","ARLINGTON",42.4243203,-71.1546251,0
"M NORCROSS STRATTON SCHOOL","ARLINGTON",42.4153925,-71.1564729,1.5
"PEIRCE SCHOOL","ARLINGTON",42.4285789,-71.178963,2.1
"THOMPSON","ARLINGTON",42.451727,-71.1370672,1.2
"BRIGGS ELEMENTARY","ASHBURNHAM",42.6149195,-71.9270564,2.8
"ASHBY ELEMENTARY","ASHBY",42.678931,-71.824322,4.7
"HENRY E WARREN ELEMENTARY","ASHLAND",42.2421223,-71.4450779,1
"PLEASANT STREET","ATHOL",42.5748332,-72.2188724,8.7
"SANDERS STREET SCHOOL","ATHOL",42.586476,-72.2306386,2.2
"HYMAN FINE ELEMENTARY","ATTLEBORO",41.9161838,-71.2719878,0
"PETER THACHER ELEMENTARY","ATTLEBORO",41.9317562,-71.280343,1.3
"ST JOHN THE EVANGELIST","ATTLEBORO",41.9466479,-71.2892702,0
"STUDLEY ELEMENTARY","ATTLEBORO",41.9369718,-71.3058721,1.1
"THOMAS E WILLETT SCHOOL","ATTLEBORO",41.9462107,-71.2914418,0
"BRYN MAWR","AUBURN",42.204816,-71.8453496,0
"MARY D STONE","AUBURN",42.1951773,-71.8365643,0
